"searchedTranscript","gene","EnsemblID","EntrezSummary","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000502813","","ENSG00000250820","                                            ENSG00000250820  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.02,0.01,0.49,-0.01
"ENST00000503188","","ENSG00000231291","                                            ENSG00000231291  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.15,0.09,0,0.29,0,0,0,0,0,0,0,0.15,0.04,0,0,0,0,0,0.04,0,0.06,0.02,0.4,-0.04
"ENST00000503321","","ENSG00000250781","                                            ENSG00000250781  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,0,0,0.7,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0.08,0.03,0.44,-0.04
"ENST00000503470","","ENSG00000248559","                                            ENSG00000248559  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",2.02,0,2.17,1.57,2.81,0,0.66,0.74,0,0.93,1.15,0.24,1.15,0,0,0,0.72,0.26,0,0.72,1.11,0.42,0.38,-0.69
"ENST00000503482","","ENSG00000249435","                                            ENSG00000249435  is a Pseudogene.                                                                                                                                                                                ",0,0,0,2.15,0,0,0,0,0,0,0,0.48,0,0,0.17,0,0.25,0,0,0.16,0.24,0.11,0.44,-0.13
"ENST00000503496","","ENSG00000250007","                                            ENSG00000250007  is an Uncategorized gene.                                                                                                                                                                                ",0,0.07,0.12,0,0,0.02,0.03,0.07,0.03,0.14,0.05,0.03,0,0,0,0,0.03,0,0,0.05,0.04,0.01,0.37,-0.02
"ENST00000503624","","ENSG00000250310","                                            ENSG00000250310  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.04,0.02,0.45,-0.02
"ENST00000503797","","ENSG00000253348","                                            ENSG00000253348  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,3.38,1.48,7.68,6.18,3.21,0.88,0.58,0,0,0,2.29,2.24,0.59,5.21,0,0,0,0,0,2.6,1.03,0.4,-1.57
"ENST00000503998","","ENSG00000250511","                                            ENSG00000250511  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.05,0,0,0.36,0.06,0.11,0.15,0.42,0.1,0,0.05,0,0,0.11,0,0,0,0.11,0.16,0.16,0.14,0.06,0.42,-0.08
"ENST00000504061","","ENSG00000288258","                                            ENSG00000288258  is a Protein Coding gene.                                                                                                                                                                                ",0,0.66,0.93,4.77,1.48,2.75,0,0,0.93,0,3.18,0,0.23,0,0,0,0,0,1.41,0,1.28,0.48,0.38,-0.8
"ENST00000504175","","ENSG00000250267","                                            ENSG00000250267  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.04,0,0,0.05,0.12,0.04,0,0,0,0,0,0.04,0,0,0.09,0,0,0,0.03,0.01,0.46,-0.02
"ENST00000504932","","ENSG00000250073","                                            ENSG00000250073  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0.29,0.2,0.05,0.15,0.13,0.09,0.09,0.14,0.05,0.1,0,0,0.09,0,0.05,0.05,0,0.14,0.11,0.05,0.42,-0.06
"ENST00000505109","","ENSG00000214942","                                            ENSG00000214942  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.23,2.6,0.96,0,0,0.38,0.21,0,0.47,0,0.15,0,0.25,0.92,0.23,0.2,0,0,0.49,0.22,0.46,-0.26
"ENST00000505114","","ENSG00000245281","                                            ENSG00000245281  is an Uncategorized gene.                                                                                                                                                                                ",0,0.76,0,0,0,2.13,1.27,0.73,0,0,0,0,0.33,0.66,0.31,0,0,0.38,0.36,0,0.54,0.21,0.38,-0.34
"ENST00000505179","","ENSG00000251050","                                            ENSG00000251050  is a Pseudogene.                                                                                                                                                                                ",0,0,3.16,4.33,2.04,1.02,0.95,5.34,0.99,0,0,0,6.77,0,0,0.96,0,0,0,0,1.98,0.77,0.39,-1.21
"ENST00000505195","","ENSG00000250516","                                            ENSG00000250516  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0.21,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.02,0.01,0.4,-0.01
"ENST00000505781","","ENSG00000250905","                                            ENSG00000250905  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.24,0.33,0,0,0.85,0,0,0.52,0,0,0.48,0.58,0,0,0,0,0,0,0,0,0.22,0.11,0.49,-0.11
"ENST00000506013","","ENSG00000251508","                                            ENSG00000251508  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0,0,1.89,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0.21,0.09,0.42,-0.12
"ENST00000506083","","ENSG00000251467","                                            ENSG00000251467  is a Pseudogene.                                                                                                                                                                                ",0,0.27,0,0.83,0,0,0.12,0.13,0,0,0,0,0.25,0,0.25,0,0,0.13,0,0,0.15,0.06,0.42,-0.09
"ENST00000506149","","ENSG00000248896","                                            ENSG00000248896  is an Uncategorized gene.                                                                                                                                                                                ",0.19,0,0,0.77,0,0.21,0.29,0,0.3,0,0,0,0,0.1,0,0.21,0,0.32,0.21,0,0.19,0.08,0.43,-0.11
"ENST00000506454","","ENSG00000246090","                                            ENSG00000246090  is an Uncategorized gene.                                                                                                                                                                                ",0.62,0,0.28,0.7,0.25,0,0,0.13,0.62,0,0,0,0,0.12,0,0.4,0,0.4,0,0.39,0.29,0.13,0.45,-0.16
"ENST00000506475","","ENSG00000249216","                                            ENSG00000249216  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",3.67,0,0,4.26,1.32,3.14,0,0.82,1.11,0,0,0.77,0,0,0,1.11,0,1.28,0.8,1.9,1.59,0.59,0.37,-1.01
"ENST00000551781","PPP1R12A","ENSG00000058272","Myosin phosphatase target subunit 1, which is also called the myosin-binding subunit of myosin phosphatase, is one of the subunits of myosin phosphatase. Myosin phosphatase regulates the interaction of actin and myosin downstream of the guanosine triphosphatase Rho. The small guanosine triphosphatase Rho is implicated in myosin light chain (MLC) phosphorylation, which results in contraction of smooth muscle and interaction of actin and myosin in nonmuscle cells. The guanosine triphosphate (GTP)-bound, active form of RhoA (GTP.RhoA) specifically interacted with the myosin-binding subunit (MBS) of myosin phosphatase, which regulates the extent of phosphorylation of MLC. Rho-associated kinase (Rho-kinase), which is activated by GTP. RhoA, phosphorylated MBS and consequently inactivated myosin phosphatase. Overexpression of RhoA or activated RhoA in NIH 3T3 cells increased phosphorylation of MBS and MLC. Thus, Rho appears to inhibit myosin phosphatase through the action of Rho-kinase. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2009]",9.28,6.55,2.77,4.56,2.69,10.86,3.62,3.08,8.29,10.6,5.84,3.18,4.05,2.53,0,7.18,0,0.56,0,0,5.74,2.33,0.41,-3.41
"ENST00000551804","PFKM","ENSG00000152556","Three phosphofructokinase isozymes exist in humans: muscle, liver and platelet. These isozymes function as subunits of the mammalian tetramer phosphofructokinase, which catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate. Tetramer composition varies depending on tissue type. This gene encodes the muscle-type isozyme. Mutations in this gene have been associated with glycogen storage disease type VII, also known as Tarui disease. Alternatively spliced transcript variants have been described.[provided by RefSeq, Nov 2009]",0,0,0.24,0,0.7,0,1.32,0.26,0.3,0.93,0,0.82,0,0,0,0,0.27,0.25,0,0,0.32,0.13,0.43,-0.18
"ENST00000551918","","ENSG00000257202","                                            ENSG00000257202  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.05,0.02,0.42,-0.03
"ENST00000552016","","ENSG00000237493","                                            ENSG00000237493  is a Pseudogene.                                                                                                                                                                                ",0,0,0.85,0,0.53,0.36,0.49,0,0.68,0,0.51,0,0,0.17,0,0,0.17,0.37,0,0,0.32,0.12,0.38,-0.2
"ENST00000552634","","ENSG00000257496","                                            ENSG00000257496  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,2.8,1,0.44,0,3.08,0.93,0,0.39,0.98,0.97,0.8,0,0.39,0,0.8,0.2,0.43,0.2,0,0.96,0.38,0.39,-0.58
"ENST00000552753","","ENSG00000257527","                                            ENSG00000257527  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.01,0,2.05,4.24,1.53,0,0,0,0.44,0.35,0.4,0.46,0,0,0.51,0,0,1.29,0,1.5,1.03,0.42,0.4,-0.61
"ENST00000552758","FICD","ENSG00000198855","                                            FICD (FIC Domain Protein Adenylyltransferase) is a Protein Coding gene.                                            Diseases associated with FICD include Progressive Familial Heart Block, Type Ii and Progressive Familial Heart Block.                                                                                        Gene Ontology (GO) annotations related to this gene include protein adenylyltransferase activity.                                            ",0,0.35,0.35,3.15,1.45,0,0,1.1,0.55,0,0,0.24,1.04,0,0.5,0.29,0,0,0.6,0.32,0.77,0.3,0.39,-0.47
"ENST00000552874","NPAS3","ENSG00000151322","This gene encodes a member of the basic helix-loop-helix and PAS domain-containing family of transcription factors. The encoded protein is localized to the nucleus and may regulate genes involved in neurogenesis. Chromosomal abnormalities that affect the coding potential of this gene are associated with schizophrenia and cognitive disability. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]",0,0,0.19,0,0,0,0,0,0,0.42,0.09,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0.47,-0.01
"ENST00000552874","NPAS3","ENSG00000151322","This gene encodes a member of the basic helix-loop-helix and PAS domain-containing family of transcription factors. The encoded protein is localized to the nucleus and may regulate genes involved in neurogenesis. Chromosomal abnormalities that affect the coding potential of this gene are associated with schizophrenia and cognitive disability. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]",0,0,0.19,0,0,0,0,0,0,0.42,0.09,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0.47,-0.01
"ENST00000552874","NPAS3","ENSG00000151322","This gene encodes a member of the basic helix-loop-helix and PAS domain-containing family of transcription factors. The encoded protein is localized to the nucleus and may regulate genes involved in neurogenesis. Chromosomal abnormalities that affect the coding potential of this gene are associated with schizophrenia and cognitive disability. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]",0,0,0.19,0,0,0,0,0,0,0.42,0.09,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0.47,-0.01
"ENST00000552935","ITGB7","ENSG00000139626","This gene encodes a protein that is a member of the integrin superfamily. Members of this family are adhesion receptors that function in signaling from the extracellular matrix to the cell. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. The encoded protein forms dimers with an alpha4 chain or an alphaE chain and plays a role in leukocyte adhesion. Dimerization with alpha4 forms a homing receptor for migration of lymphocytes to the intestinal mucosa and Peyer's patches. Dimerization with alphaE permits binding to the ligand epithelial cadherin, a calcium-dependent adhesion molecule. Alternate splicing results in multiple transcript variants. Additional alternatively spliced transcript variants of this gene have been described, but their full-length nature is not known. [provided by RefSeq, Sep 2013]",0.23,0,0,0,0.84,0.33,0,0.26,0,1.93,0.56,0,0,0,0,0.16,0,0,0,0,0.18,0.07,0.4,-0.11
"ENST00000553046","","ENSG00000257272","                                            ENSG00000257272  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.19,0.21,0,0.52,0.36,0,0.36,0,0,0.17,0,0,0.17,0,0,0,0,0.35,0,0.18,0.07,0.38,-0.11
"ENST00000553221","TSPAN31","ENSG00000135452","The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is thought to be involved in growth-related cellular processes. This gene is associated with tumorigenesis and osteosarcoma. [provided by RefSeq, Jul 2008]",0,0,0.17,0,0,0,0.24,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0.05,0.02,0.48,-0.02
"ENST00000553792","","ENSG00000258458","                                            ENSG00000258458  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0.8,0,0,0,0.74,0,0,0,0,0.22,0,0,0,0.23,0,0,0.33,0.17,0.08,0.45,-0.09
"ENST00000554407","","ENSG00000255435","                                            ENSG00000255435  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,2.24,0,0,0,0.19,0,0,0,0.56,0,0,0.49,0,0,0,0,0,0.27,0.11,0.39,-0.17
"ENST00000554412","","ENSG00000258489","                                            ENSG00000258489  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.32,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0.04,0.02,0.43,-0.02
"ENST00000554967","","ENSG00000258437","                                            ENSG00000258437  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0.05,0.02,0.44,-0.03
"ENST00000555297","","ENSG00000258888","                                            ENSG00000258888  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.47,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.17,0.07,0.03,0.46,-0.04
"ENST00000555357","CDK2","ENSG00000123374","This gene encodes a member of a family of serine/threonine protein kinases that participate in cell cycle regulation. The encoded protein is the catalytic subunit of the cyclin-dependent protein kinase complex, which regulates progression through the cell cycle. Activity of this protein is especially critical during the G1 to S phase transition. This protein associates with and regulated by other subunits of the complex including cyclin A or E, CDK inhibitor p21Cip1 (CDKN1A), and p27Kip1 (CDKN1B). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014]",0,0,0,0,0.33,0.25,0,0.3,0,0.68,0,0,0,0,0,0,0.15,0,0,0.33,0.1,0.05,0.49,-0.05
"ENST00000555771","","ENSG00000259146","                                            ENSG00000259146  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.23,0.54,0.97,1.62,2.09,1.52,0.91,4.11,3.11,3.14,1.18,0.49,0,0,0.23,1.22,0.75,1.34,0.25,0.75,1.68,0.62,0.37,-1.06
"ENST00000555952","FRMD6","ENSG00000139926","                                            FRMD6 (FERM Domain Containing 6) is a Protein Coding gene.                                            Diseases associated with FRMD6 include Wilson-Turner X-Linked Mental Retardation Syndrome.                                            Among its related pathways are Neuroscience and Hippo signaling pathway - multiple species.                                                                                        An important paralog of this gene is EPB41L3.",3.56,1.45,0.66,1.05,1.09,1.15,12.88,3.21,1.74,4.15,0.79,0.67,0.43,0.65,0.21,1.13,2.47,0.57,1.38,4.56,2.98,1.28,0.43,-1.69
"ENST00000555966","","ENSG00000258843","                                            ENSG00000258843  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,4.13,0,0,0,0.57,0,0,1.5,0,0,0,0,0,0,0,0,0.83,0.52,0.23,0.45,-0.29
"ENST00000556080","","ENSG00000258620","                                            ENSG00000258620  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,1.42,0,1.33,0,0.63,0.27,0.43,-0.36
"ENST00000556146","CDK2","ENSG00000123374","This gene encodes a member of a family of serine/threonine protein kinases that participate in cell cycle regulation. The encoded protein is the catalytic subunit of the cyclin-dependent protein kinase complex, which regulates progression through the cell cycle. Activity of this protein is especially critical during the G1 to S phase transition. This protein associates with and regulated by other subunits of the complex including cyclin A or E, CDK inhibitor p21Cip1 (CDKN1A), and p27Kip1 (CDKN1B). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014]",0,0,0,0,0,0,0,0.5,0,0,0.08,0,0,0.16,0,0,0,0,0,0,0.06,0.02,0.44,-0.03
"ENST00000556228","","ENSG00000258747","                                            ENSG00000258747  is an Uncategorized gene.                                                                                                                                                                                ",0,0,1.14,0,1.27,0,0,0.27,0,0,0,0.48,0.13,0,0,0,0.16,0.34,0,0.1,0.3,0.12,0.41,-0.18
"ENST00000556271","","ENSG00000258569","                                            ENSG00000258569  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0.36,0,0.61,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.11,0.04,0.4,-0.06
"ENST00000556332","","ENSG00000258851","                                            ENSG00000258851  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.4,0.49,0.86,0.94,0.34,0.21,0,1.29,0.61,0,0.8,0.21,0,0,0,0.21,0,0,1.28,0.3,0.57,0.28,0.49,-0.29
"ENST00000556366","NDRG2","ENSG00000165795","This gene is a member of the N-myc downregulated gene family which belongs to the alpha/beta hydrolase superfamily. The protein encoded by this gene is a cytoplasmic protein that may play a role in neurite outgrowth. This gene may be involved in glioblastoma carcinogenesis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2017]",0.35,0,0.79,0,0,0,0,0,0,0.76,0.16,0,0,0.36,0,0,0,0,0.09,0,0.13,0.06,0.48,-0.07
"ENST00000556580","NGDN","ENSG00000129460","Neuroguidin is an EIF4E (MIM 133440)-binding protein that interacts with CPEB (MIM 607342) and functions as a translational regulatory protein during development of the vertebrate nervous system (Jung et al., 2006 [PubMed 16705177]).[supplied by OMIM, Mar 2008]",0,0,0,0,0,0,0.53,0.77,0.35,0,0,0,0,0,0,0,0,0.36,0,0.31,0.18,0.07,0.37,-0.12
"ENST00000556642","","ENSG00000259168","                                            ENSG00000259168  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,2.13,0.83,1.49,0,0,0,0,2.21,0,0,0,0,0,0,0.49,0.22,0.45,-0.27
"ENST00000556770","","ENSG00000259094","                                            ENSG00000259094  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.29,0,0.32,0,0.35,0,0.07,0,0.15,0,0.15,0.08,0.15,0,0.08,0,0,0.08,0.09,0,0.13,0.06,0.47,-0.07
"ENST00000557036","CATSPERB","ENSG00000133962","                                            CATSPERB (Cation Channel Sperm Associated Auxiliary Subunit Beta) is a Protein Coding gene.                                                                                        Among its related pathways are Fertilization.                                                                                        ",0.03,0,0,0,0.11,0.1,0.09,0.04,0,0,0,0.03,0,0.03,0,0,0.03,0.02,0.03,0.03,0.04,0.02,0.44,-0.02
"ENST00000557048","","ENSG00000259066","                                            ENSG00000259066  is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include ubiquitin-protein transferase activity.                                            An important paralog of this gene is UBR7.",0,0.28,0,0,0.6,0,0.78,0,0,0,0,0,0.4,0,0,0,0,0,0.38,0,0.18,0.08,0.42,-0.11
"ENST00000557194","","ENSG00000258960","                                            ENSG00000258960  is a Pseudogene.                                                                                                                                                                                ",0,0,0.62,0.26,0,0,0.22,0,0,0.47,0,0,0,0,0,0,0,0.26,0.25,0,0.12,0.05,0.41,-0.07
"ENST00000557474","","ENSG00000258435","                                            ENSG00000258435  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.04,0.02,0.48,-0.02
"ENST00000557475","","ENSG00000258943","                                            ENSG00000258943  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.36,0.51,0,0,0.23,0,0,0.1,0.56,0,0.09,0,0,0.09,0,0.2,0,0.2,0.19,0,0.2,0.08,0.4,-0.12
"ENST00000559134","","ENSG00000259488","                                            ENSG00000259488  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.72,0.21,0,0,0.62,0,0.18,0.2,1.22,0.4,0.19,0.57,0,0,0,0,0.61,0.21,0,0,0.35,0.16,0.45,-0.19
"ENST00000559299","","ENSG00000259692","                                            ENSG00000259692  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.24,0,0.05,0.02,0.48,-0.03
"ENST00000559544","","ENSG00000259598","                                            ENSG00000259598  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.52,0.23,0.33,0,0,0.43,0.2,0,0.4,0,0.2,0,0,0,0,0.24,0,0,0.19,0.08,0.44,-0.11
"ENST00000559594","","ENSG00000259502","                                            ENSG00000259502  is a Pseudogene.                                                                                                                                                                                ",0,0.35,0.59,0,0,0,0,0.17,0,0.48,0,0,0,0.32,0,0,0,0,0,0.22,0.12,0.05,0.43,-0.07
"ENST00000559614","","ENSG00000259242","                                            ENSG00000259242  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.17,0.02,0.09,0,0,0.08,0.08,0.08,0,0,0,0,0,0.17,0,0,0,0.08,0,0.06,0.02,0.43,-0.03
"ENST00000559710","TCF12","ENSG00000140262","The protein encoded by this gene is a member of the basic helix-loop-helix (bHLH) E-protein family that recognizes the consensus binding site (E-box) CANNTG. This encoded protein is expressed in many tissues, among them skeletal muscle, thymus, B- and T-cells, and may participate in regulating lineage-specific gene expression through the formation of heterodimers with other bHLH E-proteins. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Jul 2008]",7.33,0,0,9.24,0,0.81,0,0,0.97,1.03,0.88,0,0,2.89,3.42,2.58,0,0,0,0,2.04,0.98,0.48,-1.06
"ENST00000559739","","ENSG00000259349","                                            ENSG00000259349  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,3.74,0.77,0,0.98,0,0,0,0,0,0.36,0.61,0,0,0,0,0,0,1.25,0,0.61,0.22,0.37,-0.39
"ENST00000559954","","ENSG00000259708","                                            ENSG00000259708  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,1.79,2.24,2.43,1.68,1.12,0,0,0,0,1.54,0,1.56,0,0.04,1.04,0,0.61,0,0,1.03,0.48,0.47,-0.55
"ENST00000559968","","ENSG00000259648","                                            ENSG00000259648  is a Pseudogene.                                                                                                                                                                                ",0,0.26,0.11,0,0.04,0,0,0.04,0,0,0,0.21,0,0,0,0,0,0,0,0,0.05,0.02,0.42,-0.03
"ENST00000560259","","ENSG00000259423","                                            ENSG00000259423  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0.43,0,0,0.09,0.04,0.47,-0.05
"ENST00000560324","","ENSG00000259418","                                            ENSG00000259418  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.94,0,0,0.71,0.22,0.4,0,0.21,0,0.21,0.43,0,0,0,0.22,0.22,0,0,0,0.28,0.11,0.39,-0.17
"ENST00000560405","","ENSG00000229212","                                            ENSG00000229212  is a Pseudogene.                                                                                                                                                                                ",0.32,0,1.08,0.69,0,0,0,0.61,0,4.17,0,0,0,0,0.2,0.09,0.52,0.38,0,0,0.3,0.12,0.4,-0.18
"ENST00000560647","","ENSG00000259354","                                            ENSG00000259354  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0.74,0,0.32,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0.12,0.05,0.42,-0.07
"ENST00000560688","","ENSG00000259757","                                            ENSG00000259757  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0,0.3,0,0,0,0,0.14,0,0,0,0,0,0,0,0.03,0.01,0.42,-0.02
"ENST00000560709","","ENSG00000259278","                                            ENSG00000259278  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.04,0.02,0.44,-0.02
"ENST00000561382","","ENSG00000251393","                                            ENSG00000251393  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.44,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0.11,0.04,0.37,-0.07
"ENST00000562076","","ENSG00000261341","                                            ENSG00000261341  is a Protein Coding gene.                                                                                                                                                                                ",0,0,2.21,0,0,2.43,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0.52,0.23,0.45,-0.28
"ENST00000562127","","ENSG00000260763","                                            ENSG00000260763  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.11,0.04,0.02,0.1,0.06,0.02,0.13,0.17,0.02,0.09,0.04,0.06,0.06,0.04,0,0.02,0,0.06,0.04,0.04,0.07,0.03,0.47,-0.04
"ENST00000562158","","ENSG00000261364","                                            ENSG00000261364  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.25,0.37,0.28,0,0.1,0,0,0,0.08,0.6,0,0,0.14,0,0.3,0,0,0,0,0,0.12,0.04,0.37,-0.08
"ENST00000562315","","ENSG00000260213","                                            ENSG00000260213  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,1.86,0.98,0,0.26,0.93,2.91,0,0.61,0.28,0.27,0,0,0.55,0.28,0.31,1.37,0,0.77,0.37,0.48,-0.4
"ENST00000562341","","ENSG00000259854","                                            ENSG00000259854  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.02,0,0.05,0,0,0,0.07,0,0.02,0,0,0,0.02,0,0,0.02,0,0,0.02,0.01,0.42,-0.01
"ENST00000562497","","ENSG00000261527","                                            ENSG00000261527  is a Pseudogene.                                                                                                                                                                                ",0,0,0.14,0,0,0.15,0,0.73,0,0,0,0,0,0,0.28,0.15,0,0,0,0,0.11,0.04,0.38,-0.07
"ENST00000562833","","ENSG00000260836","                                            ENSG00000260836  is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include nucleic acid binding and structural constituent of ribosome.                                            An important paralog of this gene is CPEB1.",0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.06,0.03,0.49,-0.03
"ENST00000563057","","ENSG00000260657","                                            ENSG00000260657  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,1.42,0,2.42,1.05,0.94,1.1,0,0,0.49,0.51,0,0.49,0,0.98,0,0.58,0.54,0,0.77,0.36,0.46,-0.41
"ENST00000563190","","ENSG00000261273","                                            ENSG00000261273  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,2.3,1.09,0,1.33,0.4,1.77,4.52,0,0,0,1.93,1.47,0,0,0,0,0.43,0.4,1.27,1.27,0.55,0.44,-0.72
"ENST00000563242","","ENSG00000260410","                                            ENSG00000260410  is a Pseudogene.                                                                                                                                                                                ",0,0.15,0.08,0,0,0.07,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0.03,0.01,0.42,-0.02
"ENST00000563347","","ENSG00000261673","                                            ENSG00000261673  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,1.17,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0.13,0.05,0.41,-0.08
